country,date,name,type
HR,N/A,"[{'language': 'EN', 'text': 'Statehood Day'}]",Public
HR,N/A,"[{'language': 'EN', 'text': 'Corpus Christi'}]",Public
HR,N/A,"[{'language': 'EN', 'text': 'Anti-Fascist Struggle Day'}]",Public
HR,N/A,"[{'language': 'EN', 'text': 'Victory and Homeland Thanksgiving Day and the Day of Croatian Defenders'}]",Public
HR,N/A,"[{'language': 'EN', 'text': 'Assumption Day'}]",Public
HR,N/A,"[{'language': 'EN', 'text': ""All Saints' Day""}]",Public
HR,N/A,"[{'language': 'EN', 'text': 'Remembrance Day'}]",Public
HR,N/A,"[{'language': 'EN', 'text': 'Christmas'}]",Public
HR,N/A,"[{'language': 'EN', 'text': 'Christmas'}]",Public
CZ,N/A,"[{'language': 'EN', 'text': 'Day of the Restoration of the Independent Czech State'}]",Public
CZ,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
CZ,N/A,"[{'language': 'EN', 'text': 'Good Friday'}]",Public
CZ,N/A,"[{'language': 'EN', 'text': 'Easter Monday'}]",Public
CZ,N/A,"[{'language': 'EN', 'text': 'Labour Day'}]",Public
CZ,N/A,"[{'language': 'EN', 'text': 'Liberation Day'}]",Public
CZ,N/A,"[{'language': 'EN', 'text': 'St. Cyril and Methodius Day'}]",Public
CZ,N/A,"[{'language': 'EN', 'text': 'Day of the Burning of Jan Hus'}]",Public
CZ,N/A,"[{'language': 'EN', 'text': 'Czech Statehood Day'}]",Public
CZ,N/A,"[{'language': 'EN', 'text': 'Independence Day'}]",Public
CZ,N/A,"[{'language': 'EN', 'text': 'Day of Struggle for Freedom and Democracy'}]",Public
CZ,N/A,"[{'language': 'EN', 'text': 'Christmas Eve'}]",Public
CZ,N/A,"[{'language': 'EN', 'text': 'Christmas Day'}]",Public
CZ,N/A,"[{'language': 'EN', 'text': 'Second Christmas Day'}]",Public
EE,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
EE,N/A,"[{'language': 'EN', 'text': 'Independence Day'}]",Public
EE,N/A,"[{'language': 'EN', 'text': 'Good Friday'}]",Public
EE,N/A,"[{'language': 'EN', 'text': 'Easter Sunday'}]",Public
EE,N/A,"[{'language': 'EN', 'text': 'Spring Day'}]",Public
EE,N/A,"[{'language': 'EN', 'text': 'Pentecost'}]",Public
EE,N/A,"[{'language': 'EN', 'text': 'Victory Day'}]",Public
EE,N/A,"[{'language': 'EN', 'text': 'Midsummer Day'}]",Public
EE,N/A,"[{'language': 'EN', 'text': 'Day of Restoration of Independence'}]",Public
EE,N/A,"[{'language': 'EN', 'text': 'Christmas Eve'}]",Public
EE,N/A,"[{'language': 'EN', 'text': 'Christmas Day'}]",Public
EE,N/A,"[{'language': 'EN', 'text': 'Boxing Day'}]",Public
FR,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
FR,N/A,"[{'language': 'EN', 'text': 'Good Friday'}]",Public
FR,N/A,"[{'language': 'EN', 'text': 'Easter Monday'}]",Public
FR,N/A,"[{'language': 'EN', 'text': 'Abolition of slavery'}]",Public
FR,N/A,"[{'language': 'EN', 'text': 'Labour Day'}]",Public
FR,N/A,"[{'language': 'EN', 'text': 'Victory Day'}]",Public
FR,N/A,"[{'language': 'EN', 'text': 'Ascension Day'}]",Public
FR,N/A,"[{'language': 'EN', 'text': 'Abolition of slavery'}]",Public
FR,N/A,"[{'language': 'EN', 'text': 'Abolition of slavery'}]",Public
FR,N/A,"[{'language': 'EN', 'text': 'Pentecost Monday'}]",Public
FR,N/A,"[{'language': 'EN', 'text': 'Abolition of slavery'}]",Public
FR,N/A,"[{'language': 'EN', 'text': 'National Day'}]",Public
FR,N/A,"[{'language': 'EN', 'text': 'Assumption Day'}]",Public
FR,N/A,"[{'language': 'EN', 'text': 'Abolition of slavery'}]",Public
FR,N/A,"[{'language': 'EN', 'text': 'All Saints Day'}]",Public
FR,N/A,"[{'language': 'EN', 'text': 'Armistice Day'}]",Public
FR,N/A,"[{'language': 'EN', 'text': 'Abolition of slavery'}]",Public
FR,N/A,"[{'language': 'EN', 'text': 'Christmas Day'}]",Public
FR,N/A,"[{'language': 'EN', 'text': '2nd day of Christmas'}]",Public
DE,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
DE,N/A,"[{'language': 'EN', 'text': 'Epiphany'}]",Public
DE,N/A,"[{'language': 'EN', 'text': ""International Women's Day""}]",Public
DE,N/A,"[{'language': 'EN', 'text': 'Good Friday'}]",Public
DE,N/A,"[{'language': 'EN', 'text': 'Easter Sunday'}]",Public
DE,N/A,"[{'language': 'EN', 'text': 'Easter Monday'}]",Public
DE,N/A,"[{'language': 'EN', 'text': 'Labour Day'}]",Public
DE,N/A,"[{'language': 'EN', 'text': 'Ascension Day'}]",Public
DE,N/A,"[{'language': 'EN', 'text': 'Pentecost Sunday'}]",Public
DE,N/A,"[{'language': 'EN', 'text': 'Pentecost Monday'}]",Public
